------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	N         14.00699997
------------------------------


------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       N
   19. C10H8                 G      0          128.173997    300.00   4000.00      10       8       0
   65. C10H8.(1)(S)          G      0          128.173997    300.00   4000.00      10       8       0
   66. C10H8(1)(S)           G      0          128.173997    300.00   4000.00      10       8       0
------------------------------------------------------------------------------------------------------

---------------------------------------------------------------------------------------
                                SURFACE MECHANISM                                    
---------------------------------------------------------------------------------------

       Number of materials:       1
       Number of site phases:     1
       Number of bulk phases:     1
       Number of surface species: 66
       Number of bulk species:    1

       Materials: 
       SOLID

       ------------------------------------------------------------------------------------------------------------------
       Site phases:        density[mol/cm2]     sites      global-index   local-index   internal-index
       ------------------------------------------------------------------------------------------------------------------
       1. CARBON           1.328460e-09     
             H(S)                             1.000000         49             1              1              
             C.(S)                            1.000000         50             2              2              
             CHCH.(S)                         1.000000         51             3              3              
             CH2CH2.(S)                       1.000000         52             4              4              
             CH2CH2(S)                        1.000000         53             5              5              
             CH.CH2(S)                        1.000000         54             6              6              
             p1(S)                            1.000000         55             7              7              
             p3(S)                            1.000000         56             8              8              
             p4(S)                            1.000000         57             9              9              
             p5(S)                            1.000000         58             10             10             
             p6(S)                            1.000000         59             11             11             
             p7(S)                            1.000000         60             12             12             
             C6H6.(S)                         1.000000         61             13             13             
             C6H6(S)                          1.000000         62             14             14             
             C6H5#(S)                         1.000000         63             15             15             
             C6H5.(S)                         1.000000         64             16             16             
             C10H8.(1)(S)                     1.000000         65             17             17             
             C10H8(1)(S)                      1.000000         66             18             18             
             phenylac.1(S)                     1.000000         67             19             19             
             styrene.1(S)                     1.000000         68             20             20             
             styrene1(S)                      1.000000         69             21             21             
             CCH(S)                           1.000000         70             22             22             
             CHCH2(S)                         1.000000         71             23             23             
             CH3(S)                           1.000000         72             24             24             
             CH2.(S)                          1.000000         73             25             25             
             CH2c5(S)                         1.000000         74             26             26             
             CH.c5(S)                         1.000000         75             27             27             
             CHCH3c5(S)                       1.000000         76             28             28             
             C.CH3c5(S)                       1.000000         77             29             29             
             Hz(S)                            1.000000         78             30             30             
             C.z(S)                           1.000000         79             31             31             
             CHCH.z(S)                        1.000000         80             32             32             
             CHCHCH3z(S)                      1.000000         81             33             33             
             CHCHCH2.z(S)                     1.000000         82             34             34             
             CH2CH2.z(S)                      1.000000         83             35             35             
             CH2CH2CH3z(S)                     1.000000         84             36             36             
             CH.CH2CH3z(S)                     1.000000         85             37             37             
             CH2CH3z(S)                       1.000000         86             38             38             
             CH3z(S)                          1.000000         87             39             39             
             CH2.z(S)                         1.000000         88             40             40             
             CH2CHCH.z(S)                     1.000000         89             41             41             
             CH2CH2CH2.z(S)                     1.000000         90             42             42             
             CH2Bz(S)                         1.000000         91             43             43             
             CH2CH2z(S)                       1.000000         92             44             44             
             CHCHz(S)                         1.000000         93             45             45             
             CH.Bz(S)                         1.000000         94             46             46             
             CHCH3Bz(S)                       1.000000         95             47             47             
             C.CH3Bz(S)                       1.000000         96             48             48             
             CCH2Bz(S)                        1.000000         97             49             49             
             CCH.Bz(S)                        1.000000         98             50             50             
             CCHCH3Bz(S)                      1.000000         99             51             51             
             CCHCH2.Bz(S)                     1.000000         100            52             52             
             CHC.z(S)                         1.000000         101            53             53             
             CHCCH3z(S)                       1.000000         102            54             54             
             CHCCH2.z(S)                      1.000000         103            55             55             
             CHCCH2c5z(S)                     1.000000         104            56             56             
             CHCCH.c5z(S)                     1.000000         105            57             57             
             CHCCHCH3c5z(S)                     1.000000         106            58             58             
             CHCC.CH3c5z(S)                     1.000000         107            59             59             
             CHCCHCH.z(S)                     1.000000         108            60             60             
             CHCCH2CH2.z(S)                     1.000000         109            61             61             
             CHC.CH3z(S)                      1.000000         110            62             62             
             CHCHCH.Bz(S)                     1.000000         111            63             63             
             CHCH2CH2.Bz(S)                     1.000000         112            64             64             
             CHCHCHBz(S)                      1.000000         113            65             65             
             CHCH2CH2Bz(S)                     1.000000         114            66             66             

       ------------------------------------------------------------------------------------------------------------------
       Bulk phases:        density[g/cm3]     global-index   local-index   internal-index
       ------------------------------------------------------------------------------------------------------------------
       1. BULK1            
             C(B)        2.000000         115            1              1              

--------------------------------------------------------------------------------------------------------
                                  CHEMICAL REACTIONS                                                  

                         Units: [kmol, m3, s] and [cal/mol]                                           
--------------------------------------------------------------------------------------------------------


      1. H + H(S) + C(B)  => H2 + C.(S) 
         k:       5.000000e+04	    1.80      16800.00


      2. H2 + C.(S)  => H + H(S) + C(B) 
         k:       1.450000e+04	    1.80       8734.00


      3. CH3 + H(S) + C(B)  => CH4 + C.(S) 
         k:       6.660000e+08	    0.00      15000.00


      4. CH4 + C.(S)  => CH3 + H(S) + C(B) 
         k:       1.470000e+09	    0.00       7370.00


